CustomerID,ProductID,Quantity,Price,Date,ProductCategory,DiscountApplied,Amount,MarketingPromotion,Promo Binary,City,lon,lat
109318,C,7,80.07984415,1/8/10,Books,18.6770995,455.8627638,Yes,1,Digos,,
993229,C,4,75.19522942,1/10/2010,Home Decor,14.12136502,258.3065464,No,0,Valencia,125.0943,7.9064
579675,A,8,31.52881648,1/12/2010,Books,15.94370066,212.0156509,Yes,1,Laoag,120.5926679,18.1960128
799826,D,5,98.88021828,1/14/2010,Books,6.68633678,461.3437694,No,0,Digos,,
121413,A,7,93.18851246,1/16/2010,Electronics,4.030095691,626.0304837,Yes,1,Canlaon,123.2195866,10.3857796
463050,D,3,54.09315249,1/18/2010,Electronics,10.88876836,144.6092233,No,0,San Pablo,121.3257,14.0683
888163,D,7,13.12193739,1/20/2010,Clothing,16.29512671,76.88590745,Yes,1,San Fernando (La Union),120.3210331,16.6159132
843385,A,8,56.02516419,1/22/2010,Home Decor,6.344305684,419.7660521,Yes,1,La Carlota,122.9208,10.4241
839609,B,5,23.85798105,1/24/2010,Electronics,18.70399725,96.97792465,No,0,Calbayog,124.5929574,12.0675749
184135,D,4,63.3427768,1/26/2010,Books,7.640606649,234.0120175,No,0,Calamba,121.163853,14.2126781
266491,C,8,98.79272609,1/28/2010,Books,14.17495322,678.3112271,Yes,1,Maasin,124.8403408,10.1653546
65632,D,8,78.12314235,1/30/2010,Electronics,14.70431078,533.0853817,Yes,1,Puerto Princesa,118.7473298,9.7638429
26863,B,3,39.003285,2/1/2010,Electronics,14.3684358,100.1973691,No,0,Lapu-Lapu,123.9649095,10.3168646
632732,D,6,45.47433964,2/3/2010,Books,10.57461814,243.9936112,Yes,1,Dasmari̱as,120.9589699,14.2990183
798425,D,5,95.01176197,2/5/2010,Clothing,16.24839531,397.8693765,No,0,Dapitan,123.3945709,8.6253193
780621,B,2,19.91484964,2/7/2010,Clothing,14.46467762,34.06846168,No,0,San Juan,121.4077,13.8312
633299,D,8,90.11467295,2/9/2010,Clothing,15.17441385,611.5223964,Yes,1,Naga (Camarines Sur),123.1948238,13.6217753
271379,D,6,16.70799791,2/11/2010,Clothing,18.3335909,81.86893153,Yes,1,San Carlos (Negros Occidental),123.4128956,10.4837342
246231,B,2,47.31868527,2/13/2010,Electronics,6.904600086,88.10303858,No,0,Santa Rosa,121.1113,14.3122
818911,B,5,77.09057502,2/15/2010,Books,19.25257426,311.2432741,No,0,Malolos,120.8160376,14.8527393
35935,B,1,45.55602032,2/17/2010,Home Decor,18.39618315,37.17545138,No,0,Pasay,121.000815,14.5376736
274967,D,6,61.40081305,2/19/2010,Books,15.43425899,311.5443153,Yes,1,Sipalay,122.4920088,9.7197887
175504,C,9,54.17017953,2/21/2010,Books,11.00572372,433.8752331,Yes,1,Balanga,120.5421497,14.6799356
589752,A,1,64.4179452,2/23/2010,Clothing,0.111047537,64.34641065,No,0,San Pablo,121.3257,14.0683
86522,B,3,25.38440527,2/25/2010,Clothing,15.14174264,64.62229185,No,0,San Fernando (Pampanga),120.6567054,15.0593937
609241,A,7,62.02823758,2/27/2010,Clothing,18.38875557,354.3541161,Yes,1,Cotabato City,124.2310439,7.2046668
869542,A,4,98.85379367,3/1/2010,Home Decor,8.930830423,360.101316,No,0,Lamitan,122.1064668,6.661519
418277,A,9,27.45019354,3/3/2010,Clothing,4.398935343,236.1840955,Yes,1,Marikina,121.1028546,14.65073
284956,B,3,16.02541232,3/5/2010,Home Decor,14.79229223,40.96465951,No,0,Makati,121.0244452,14.554729
237711,D,5,45.26114439,3/7/2010,Books,12.03191072,199.0768195,No,0,Malaybalay,125.1320927,8.1478579
47999,D,3,43.69259776,3/9/2010,Home Decor,19.97503164,104.8949626,No,0,La Carlota,122.9208,10.4241
43807,C,7,21.31634724,3/11/2010,Home Decor,3.594113899,143.8514941,Yes,1,Calbayog,124.5929574,12.0675749
628270,A,5,61.43280267,3/13/2010,Books,6.323547799,287.7403501,No,0,Lamitan,122.1064668,6.661519
550741,D,9,49.3833028,3/15/2010,Clothing,17.0641798,368.608025,Yes,1,Bacolod,122.9510716,10.6713397
101274,D,7,85.31977157,3/17/2010,Books,13.2077957,518.3563731,Yes,1,Toledo,123.65,10.6713397
140471,B,2,48.06615492,3/19/2010,Electronics,16.51721833,80.25392634,No,0,General Santos,125.171618,6.1163861
635224,B,4,98.70968076,3/21/2010,Books,13.84911501,340.1570542,No,0,Bacolod,122.9510716,10.6713397
2398,C,9,80.18639604,3/23/2010,Electronics,4.456275585,689.5176233,Yes,1,Muntinlupa,121.0343247,14.4125897
857878,C,2,53.87055008,3/25/2010,Books,12.07332915,94.73316251,No,0,Masbate City,123.5504076,12.3574346
939765,B,9,59.69753447,3/27/2010,Books,18.77811951,436.3871409,Yes,1,Marikina,121.1028546,14.65073
11882,D,5,88.00755476,3/29/2010,Electronics,13.07468591,382.504217,No,0,Calamba,121.163853,14.2126781
147124,C,2,79.67386347,3/31/2010,Clothing,12.91378242,138.7699082,No,0,Quezon City,121.0437003,14.6760413
895908,B,4,69.19620564,4/2/2010,Electronics,16.51074194,231.0855948,No,0,Trece Martires,120.868383,14.2822215
589251,A,7,34.01289338,4/4/2010,Clothing,14.11085151,204.4936915,Yes,1,Talisay (Negros Occidental),123.0113568,10.7325049
608105,B,8,46.93122876,4/6/2010,Home Decor,16.11718005,314.9379049,Yes,1,Batangas City,121.0583076,13.7564651
800568,D,3,80.84663037,4/8/2010,Electronics,5.868724608,228.3058928,No,0,Ozamiz,123.8458707,8.1459962
985370,A,1,66.47187502,4/10/2010,Electronics,10.5145845,59.48263356,No,0,Dagupan,120.3333124,16.0432998
240172,B,4,96.08493944,4/12/2010,Clothing,17.4431825,317.2986724,No,0,Panabo,125.6841178,7.3087068
232632,D,2,88.55958357,4/14/2010,Home Decor,12.84060049,154.3760025,No,0,Ilagan,121.8734492,17.1381186
138129,B,8,48.43840968,4/16/2010,Clothing,6.596179738,361.9466009,Yes,1,Calapan,121.1645706,13.3770935
201514,B,4,36.44356796,4/18/2010,Books,5.640954187,137.5512119,No,0,Mati,,
143001,A,2,21.16617709,4/20/2010,Home Decor,15.30872409,35.85181088,No,0,Baguio,120.5960071,16.4023332
391352,D,6,46.6865179,4/22/2010,Home Decor,13.83077927,241.376452,Yes,1,Sagay,123.408176,10.8783445
94047,A,6,30.40141062,4/24/2010,Electronics,9.811217151,164.5119732,Yes,1,Malabon,120.9658454,14.6680747
182358,C,4,11.50353148,4/26/2010,Books,3.970779906,44.18700627,No,0,Carcar,123.6399562,10.1151105
91439,D,6,22.43927871,4/28/2010,Electronics,5.872273942,126.7294968,Yes,1,Calapan,121.1645706,13.3770935
370994,D,2,50.77103606,4/30/2010,Clothing,17.63195806,83.63821655,No,0,Cabanatuan,120.973393,15.4865047
194267,C,2,90.31749132,5/2/2010,Clothing,6.837288023,168.2844486,No,0,Gapan,121.0105733,15.2912094
597183,D,4,38.88635212,5/4/2010,Clothing,10.30417712,139.5177341,No,0,Isabela,121.8107079,16.9753758
173860,D,8,49.70081448,5/6/2010,Clothing,6.426451838,372.0545246,Yes,1,Malolos,120.8160376,14.8527393
667324,A,7,44.56655375,5/8/2010,Electronics,15.72327504,262.9146235,Yes,1,Toledo,123.65,10.6713397
74054,A,9,43.20773421,5/10/2010,Home Decor,3.940537885,373.5460537,Yes,1,San Jose,120.9919,15.7925
766020,B,8,75.03749694,5/12/2010,Home Decor,16.61582338,500.5551919,Yes,1,San Pedro,121.0493,14.368
301389,A,5,55.54281545,5/14/2010,Electronics,9.025839192,252.6480512,No,0,San Fernando (Pampanga),120.6567054,15.0593937
604511,D,2,46.75985559,5/16/2010,Books,8.785967794,85.30309947,No,0,Balanga,120.5421497,14.6799356
107408,D,5,94.89902096,5/18/2010,Books,18.44927581,386.9541942,No,0,Ormoc,124.6192702,11.0384275
62783,C,8,34.86587311,5/20/2010,Electronics,4.863213028,265.3621714,Yes,1,Calamba,121.163853,14.2126781
937640,C,9,84.95648436,5/22/2010,Home Decor,15.53718329,645.809757,Yes,1,Digos,,
116855,B,9,56.35052523,5/24/2010,Electronics,19.3004819,409.2714208,Yes,1,Batangas City,121.0583076,13.7564651
